scenario,seed,S,T0,N,max.followup.time,max.enroll.time,dropout.rate,base.haz,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
1,963829,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
2,629440,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
3,575880,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
4,437945,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
5,1041976,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
6,612726,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
7,209607,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
8,556969,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
9,518532,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
10,414479,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
11,847667,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
12,119162,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
13,379700,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
14,277790,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
15,748348,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
16,782290,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
17,739884,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
18,559368,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
19,494796,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
20,989806,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.14286,0.28571,0.28571,0.28572,1,0.868,0.868,0.868
21,174464,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
22,295747,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
23,282486,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
24,592091,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
25,538339,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
26,157000,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
27,792055,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
28,465939,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
29,497141,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
30,59471,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.16667,0.16667,0.33333,0.33333,1,1,0.868,0.868
31,793920,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
32,800564,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
33,252755,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
34,640768,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
35,673975,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
36,118186,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
37,991339,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
38,3383,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
39,671453,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
40,500681,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.2,0.2,0.2,0.4,1,1,1,0.868
41,557046,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
42,925099,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
43,23653,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
44,542929,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
45,241792,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
46,212348,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
47,816211,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
48,1015235,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
49,144476,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
50,742423,4,4,9340,5,1.5,0.0082,0.0386,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,1,1,1,1
